rank,model,date,game_id,match,home_score,away_score,pick,odds,units,bet_result,bet_payout
1,cliff,2025-11-21,263445,Mainz vs HOFF,1,1,Under 2.5,130,3,win,3.9
2,cliff,2025-11-21,263516,Nice vs Marseille,1,5,Marseille -0.5,-115,3,win,2.608695652173913
3,cliff,2025-11-21,263496,Valencia vs Levante,1,0,Valencia -0.5,-102,3,win,2.941176470588235
9,david,2025-11-21,263496,Valencia vs Levante,1,0,Valencia -0.5,-102,1,win,0.9803921568627452
1,david,2025-11-21,263496,Valencia vs Levante,1,0,Valencia -0.5,-102,3,win,2.941176470588235
6,david,2025-11-21,263445,Mainz vs HOFF,1,1,Mainz -0.5,130,1,loss,-1.0
10,gary,2025-11-21,263445,Mainz vs HOFF,1,1,Over 2.5,-167,1,loss,-1.0
1,gary,2025-11-21,263516,Nice vs Marseille,1,5,Marseille ML,-102,3,win,2.941176470588235
4,gary,2025-11-21,263445,Mainz vs HOFF,1,1,Over 2.5,-167,2,loss,-2.0
5,gary,2025-11-21,263496,Valencia vs Levante,1,0,Valencia ML,105,2,win,2.1
1,cliff,2025-11-22,263435,Burnley vs Chelsea,0,2,Chelsea -1.5,125,3,win,3.75
4,gary,2025-11-22,263435,Burnley vs Chelsea,0,2,Chelsea -1.5,125,2,win,2.5
4,cliff,2025-11-22,263504,Alaves vs Celta Vigo,0,1,Under 2.5,-168,2,win,1.1904761904761905
4,david,2025-11-22,263504,Alaves vs Celta Vigo,0,1,Alaves -0.5,135,2,loss,-2.0
3,gary,2025-11-22,263504,Alaves vs Celta Vigo,0,1,Under 2.5,-168,2,win,1.1904761904761905
3,cliff,2025-11-22,263447,Bayern vs Freiburg,6,2,Bayern -2.5,120,3,win,3.6
10,cliff,2025-11-22,263446,Dortmund vs Stuttgart,3,3,Dortmund -0.5,-143,1,loss,-1.0
5,cliff,2025-11-22,263512,Udinese vs Bologna,0,3,Bologna -0.5,-105,2,win,1.9047619047619049
6,cliff,2025-11-22,263442,Augsburg vs HSV,1,0,Augsburg -0.5,115,2,win,2.3
1,david,2025-11-22,263447,Bayern vs Freiburg,6,2,Bayern -2.5,120,3,win,3.6
4,david,2025-11-22,263446,Dortmund vs Stuttgart,3,3,Dortmund -0.5,-143,2,loss,-2.0
8,david,2025-11-22,263442,Augsburg vs HSV,1,0,Augsburg -0.5,115,1,win,1.15
2,david,2025-11-22,263442,Augsburg vs HSV,1,0,Augsburg -0.5,115,3,win,3.45
5,david,2025-11-22,263512,Udinese vs Bologna,0,3,Bologna -0.5,-105,1,win,0.9523809523809524
1,gary,2025-11-22,263447,Bayern vs Freiburg,6,2,Bayern -2.5,120,3,win,3.6
7,gary,2025-11-22,263446,Dortmund vs Stuttgart,3,3,Dortmund -0.5,-143,1,loss,-1.0
6,gary,2025-11-22,263442,Augsburg vs HSV,1,0,Augsburg ML,130,1,win,1.3
7,gary,2025-11-22,263512,Udinese vs Bologna,0,3,Bologna ML,105,1,win,1.05
4,cliff,2025-11-22,263432,Liverpool vs Nottingham,0,3,Liverpool -1.5,105,2,loss,-2.0
5,cliff,2025-11-22,263498,Barcelona vs Athletic,4,0,Barcelona -1.5,108,2,win,2.16
8,cliff,2025-11-22,263438,Bournemouth vs West Ham,2,2,Bournemouth -0.5,-175,2,loss,-2.0
9,cliff,2025-11-22,263429,Wolverhampton vs Crystal Palace,0,2,Crystal Palace -0.5,-110,1,win,0.9090909090909092
7,cliff,2025-11-22,263436,Albion vs Brentford,2,1,Albion -0.5,-118,2,win,1.694915254237288
2,david,2025-11-22,263432,Liverpool vs Nottingham,0,3,Liverpool -1.5,105,3,loss,-3.0
3,david,2025-11-22,263498,Barcelona vs Athletic,4,0,Barcelona -1.5,108,3,win,3.24
6,david,2025-11-22,263438,Bournemouth vs West Ham,2,2,Bournemouth -0.5,-175,2,loss,-2.0
10,david,2025-11-22,263436,Albion vs Brentford,2,1,Albion -0.5,-118,1,win,0.847457627118644
3,david,2025-11-22,263436,Albion vs Brentford,2,1,Albion -0.5,-118,2,win,1.694915254237288
2,gary,2025-11-22,263432,Liverpool vs Nottingham,0,3,Liverpool -1.5,105,3,loss,-3.0
3,gary,2025-11-22,263498,Barcelona vs Athletic,4,0,Barcelona -1.5,108,3,win,3.24
9,gary,2025-11-22,263436,Albion vs Brentford,2,1,Albion -0.5,-118,1,win,0.847457627118644
2,gary,2025-11-22,263436,Albion vs Brentford,2,1,Albion ML,-108,3,win,2.7777777777777777
12,cliff,2025-11-22,263523,Lens vs Strasbourg,1,0,Lens -0.5,-105,1,win,0.9523809523809524
7,david,2025-11-22,263523,Lens vs Strasbourg,1,0,Lens -0.5,-105,2,win,1.9047619047619049
7,cliff,2025-11-22,263430,Newcastle vs Man City,2,1,Man City -0.5,-110,2,loss,-2.0
6,gary,2025-11-22,263430,Newcastle vs Man City,2,1,Man City -0.5,-110,2,loss,-2.0
2,cliff,2025-11-22,263515,PSG vs Le Havre,3,0,PSG -2.5,134,3,win,4.0200000000000005
6,cliff,2025-11-22,263495,Villarreal vs Mallorca,2,1,Villarreal -1.5,115,2,loss,-2.0
11,cliff,2025-11-22,263514,Napoli vs Atalanta,3,1,Napoli -0.5,110,1,win,1.1
5,david,2025-11-22,263515,PSG vs Le Havre,3,0,PSG -2.5,134,2,win,2.68
5,gary,2025-11-22,263515,PSG vs Le Havre,3,0,PSG -2.5,134,2,win,2.68
8,gary,2025-11-22,263495,Villarreal vs Mallorca,2,1,Villarreal -1.5,115,1,loss,-1.0
1,cliff,2025-11-23,263437,Arsenal vs Tottenham,4,1,Arsenal -1.5,115,3,win,3.45
